pokemon_name,pokemon_type/0,pokemon_type/1,moves/0/name,moves/0/type,moves/0/category,moves/0/power,moves/0/accuracy,moves/0/pp,moves/0/statToChange,moves/0/statChangeAmount,moves/0/statTarget,moves/1/name,moves/1/type,moves/1/category,moves/1/power,moves/1/accuracy,moves/1/pp,moves/1/statToChange,moves/1/statChangeAmount,moves/1/statTarget,moves/2/name,moves/2/type,moves/2/category,moves/2/power,moves/2/accuracy,moves/2/pp,moves/2/statToChange,moves/2/statChangeAmount,moves/2/statTarget,moves/3/name,moves/3/type,moves/3/category,moves/3/power,moves/3/accuracy,moves/3/pp,moves/3/statToChange,moves/3/statChangeAmount,moves/3/statTarget,moves/4/name,moves/4/type,moves/4/category,moves/4/power,moves/4/accuracy,moves/4/pp,moves/4/statToChange,moves/4/statChangeAmount,moves/4/statTarget,moves/5/name,moves/5/type,moves/5/category,moves/5/power,moves/5/accuracy,moves/5/pp,moves/5/statToChange,moves/5/statChangeAmount,moves/5/statTarget,moves/6/name,moves/6/type,moves/6/category,moves/6/power,moves/6/accuracy,moves/6/pp,moves/6/statToChange,moves/6/statChangeAmount,moves/6/statTarget,moves/7/name,moves/7/type,moves/7/category,moves/7/power,moves/7/accuracy,moves/7/pp,moves/7/statToChange,moves/7/statChangeAmount,moves/7/statTarget,moves/8/name,moves/8/type,moves/8/category,moves/8/power,moves/8/accuracy,moves/8/pp,moves/8/statToChange,moves/8/statChangeAmount,moves/8/statTarget,moves/9/name,moves/9/type,moves/9/category,moves/9/power,moves/9/accuracy,moves/9/pp,moves/9/statToChange,moves/9/statChangeAmount,moves/9/statTarget,moves/10/name,moves/10/type,moves/10/category,moves/10/power,moves/10/accuracy,moves/10/pp,moves/10/statToChange,moves/10/statChangeAmount,moves/10/statTarget,moves/11/name,moves/11/type,moves/11/category,moves/11/power,moves/11/accuracy,moves/11/pp,moves/11/statToChange,moves/11/statChangeAmount,moves/11/statTarget,moves/12/name,moves/12/type,moves/12/category,moves/12/power,moves/12/accuracy,moves/12/pp,moves/12/statToChange,moves/12/statChangeAmount,moves/12/statTarget,moves/13/name,moves/13/type,moves/13/category,moves/13/power,moves/13/accuracy,moves/13/pp,moves/13/statToChange,moves/13/statChangeAmount,moves/13/statTarget,moves/14/name,moves/14/type,moves/14/category,moves/14/power,moves/14/accuracy,moves/14/pp,moves/14/statToChange,moves/14/statChangeAmount,moves/14/statTarget
Ekans,poison,,sludge-bomb,poison,special,90,100,10,none,0,none,slam,normal,physical,80,75,20,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,toxic,poison,status,0,90,10,poison,0,enemy,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,poison-sting,poison,physical,15,100,35,none,0,none,leer,normal,status,,100,30,defense,-1,enemy,bite,dark,physical,60,100,25,none,0,none,disable,normal,status,,100,20,none,0,enemy,acid,poison,special,40,100,30,none,0,none,strength,normal,physical,80,100,15,none,0,none,mega-drain,grass,special,40,100,15,none,0,none,earthquake,ground,physical,100,100,10,none,0,none
Arbok,poison,,sludge-bomb,poison,special,90,100,10,none,0,none,slam,normal,physical,80,75,20,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,toxic,poison,status,0,90,10,poison,0,enemy,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,poison-sting,poison,physical,15,100,35,none,0,none,leer,normal,status,,100,30,defense,-1,enemy,bite,dark,physical,60,100,25,none,0,none,acid,poison,special,40,100,30,none,0,none,hyper-beam,normal,special,150,90,5,none,0,none,strength,normal,physical,80,100,15,none,0,none,mega-drain,grass,special,40,100,15,none,0,none,earthquake,ground,physical,100,100,10,none,0,none
Pikachu,electric,,mega-punch,normal,physical,80,85,20,none,0,none,pay-day,normal,physical,40,100,20,none,0,none,thunder-punch,electric,physical,75,100,15,none,0,none,slam,normal,physical,80,75,20,none,0,none,double-kick,fighting,physical,30,100,30,none,0,none,mega-kick,normal,physical,120,75,5,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,thunderbolt,electric,special,90,100,15,none,0,none,thunder-wave,electric,status,0,90,20,paralyze,0,enemy,surf,water,special,90,100,15,none,0,none,submission,fighting,physical,80,80,20,none,0,none,counter,fighting,physical,,100,20,none,0,none
Raichu,electric,,mega-punch,normal,physical,80,85,20,none,0,none,pay-day,normal,physical,40,100,20,none,0,none,thunder-punch,electric,physical,75,100,15,none,0,none,slam,normal,physical,80,75,20,none,0,none,mega-kick,normal,physical,120,75,5,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,thunderbolt,electric,special,90,100,15,none,0,none,thunder-wave,electric,status,0,90,20,paralyze,0,enemy,surf,water,special,90,100,15,none,0,none,hyper-beam,normal,special,150,90,5,none,0,none,submission,fighting,physical,80,80,20,none,0,none,counter,fighting,physical,,100,20,none,0,none
Sandshrew,ground,,scratch,normal,physical,40,100,35,none,0,none,swords-dance,normal,status,,,20,attack,2,self,cut,normal,physical,50,95,30,none,0,none,sand-attack,ground,status,,100,15,accuracy,-1,enemy,headbutt,normal,physical,70,100,15,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,poison-sting,poison,physical,15,100,35,none,0,none,submission,fighting,physical,80,80,20,none,0,none,low-kick,fighting,status,,100,20,none,0,none,counter,fighting,physical,,100,20,none,0,none,seismic-toss,fighting,physical,,100,20,none,0,none,strength,normal,physical,80,100,15,none,0,none,earthquake,ground,physical,100,100,10,none,0,none
Sandslash,ground,,earthquake,ground,physical,100,100,10,none,0,none,swords-dance,normal,status,,,20,attack,2,self,cut,normal,physical,50,95,30,none,0,none,sand-attack,ground,status,,100,15,accuracy,-1,enemy,headbutt,normal,physical,70,100,15,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,poison-sting,poison,physical,15,100,35,none,0,none,pin-missile,bug,physical,25,95,20,none,0,none,hyper-beam,normal,special,150,90,5,none,0,none,submission,fighting,physical,80,80,20,none,0,none,low-kick,fighting,status,,100,20,none,0,none,counter,fighting,physical,,100,20,none,0,none,seismic-toss,fighting,physical,,100,20,none,0,none
Nidoran-m,poison,,cut,normal,physical,50,95,30,none,0,none,double-kick,fighting,physical,30,100,30,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,horn-attack,normal,physical,65,100,25,none,0,none,fury-attack,normal,physical,15,85,20,none,0,none,horn-drill,normal,physical,,30,5,none,0,none,sludge-bomb,poison,special,90,100,10,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,thrash,normal,physical,120,100,10,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,toxic,poison,status,0,90,10,poison,0,enemy,leer,normal,status,,100,30,defense,-1,enemy,supersonic,normal,status,,55,20,none,0,enemy,disable,normal,status,,100,20,none,0,enemy
Nidorina,poison,,sludge-bomb,poison,special,90,100,10,none,0,none,cut,normal,physical,50,95,30,none,0,none,double-kick,fighting,physical,30,100,30,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,horn-drill,normal,physical,,30,5,none,0,none,toxic,poison,status,0,90,10,poison,0,enemy,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,tail-whip,normal,status,,100,30,defense,-1,enemy,poison-sting,poison,physical,15,100,35,none,0,none,bite,dark,physical,60,100,25,none,0,none,growl,normal,status,,100,40,attack,-1,enemy,water-gun,water,special,40,100,25,none,0,none,ice-beam,ice,special,90,100,10,none,0,none
Nidoqueen,poison,ground,mega-punch,normal,physical,80,85,20,none,0,none,pay-day,normal,physical,40,100,20,none,0,none,fire-punch,fire,physical,75,100,15,none,0,none,ice-punch,ice,physical,75,100,15,none,0,none,thunder-punch,electric,physical,75,100,15,none,0,none,sludge-bomb,poison,special,90,100,10,none,0,none,cut,normal,physical,50,95,30,none,0,none,double-kick,fighting,physical,30,100,30,none,0,none,mega-kick,normal,physical,120,75,5,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,horn-drill,normal,physical,,30,5,none,0,none,toxic,poison,status,0,90,10,poison,0,enemy,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,earthquake,ground,physical,100,100,10,none,0,none
Nidoran-f,poison,,sludge-bomb,poison,special,90,100,10,none,0,none,cut,normal,physical,50,95,30,none,0,none,double-kick,fighting,physical,30,100,30,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,toxic,poison,status,0,90,10,poison,0,enemy,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,tail-whip,normal,status,,100,30,defense,-1,enemy,poison-sting,poison,physical,15,100,35,none,0,none,bite,dark,physical,60,100,25,none,0,none,growl,normal,status,,100,40,attack,-1,enemy,supersonic,normal,status,,55,20,none,0,enemy,disable,normal,status,,100,20,none,0,enemy,ice-beam,ice,special,90,100,10,none,0,none
Nidorino,poison,,cut,normal,physical,50,95,30,none,0,none,double-kick,fighting,physical,30,100,30,none,0,none,headbutt,normal,physical,70,100,15,none,0,none,horn-attack,normal,physical,65,100,25,none,0,none,fury-attack,normal,physical,15,85,20,none,0,none,horn-drill,normal,physical,,30,5,none,0,none,sludge-bomb,poison,special,90,100,10,none,0,none,body-slam,normal,physical,85,100,15,none,0,none,take-down,normal,physical,90,85,20,none,0,none,double-edge,normal,physical,120,100,15,none,0,none,toxic,poison,status,0,90,10,poison,0,enemy,leer,normal,status,,100,30,defense,-1,enemy,water-gun,water,special,40,100,25,none,0,none,ice-beam,ice,special,90,100,10,none,0,none,blizzard,ice,special,110,70,5,none,0,none
